Downloadable Content,109.99
Partial Controller Support,49.99
Single-player,49.99
Steam Achievements,49.99
Steam Cloud,49.99
Steam Trading Cards,49.99
Captions available,49.99
Multi-player,49.99
Online PvP,49.99
Movie,34.99
PvP,19.99
Design & Illustration,16.79
Web Publishing,16.79
Accounting,12.49
на одном аккаунте Steam machine activation limit,6.89
Cross-Platform Multiplayer,5.69
LAN PvP,5.69
Remote Play Together,5.69
Shared/Split Screen PvP,5.69
RPG,4.99
Violent,4.99
Adventure,3.99
Audio Production,3.99
Early Access,3.99
Massively Multiplayer,3.99
Racing,3.99
Sports,3.99
Strategy,3.99
Utilities,3.99
Simulation,2.99
360 Video,0.79
Action,0.79
Casual,0.79
Documentary,0.79
Episodic,0.79
Free to Play,0.79
Gore,0.79
Indie,0.79
Nudity,0.79
Sexual Content,0.79
Short,0.79
Tutorial,0.79
Animation & Modeling,0.59
Education,0.59
Game Development,0.59
Photo Editing,0.59
Software Training,0.59
Video Production,0.59
Commentary available,
Game demo,
In-App Purchases,
true,
