serial key required machine activation limit,109.99
Easy Anti-Cheat,49.99
MMO,19.99
SteamVR Collectibles,19.5
Remote Play on TV,9.99
Steam Turn Notifications,9.99
VR Support,9.99
LAN Co-op,8.19
LAN PvP,8.19
VR Supported,8.19
на одном компьютере,6.89
5 machine activation limit,5.69
Captions available,4.99
Co-op,4.99
Cross-Platform Multiplayer,4.99
Includes level editor,4.99
Valve Anti-Cheat enabled,4.99
Additional High-Quality Audio,3.99
Commentary available,3.99
Multi-player,3.99
Online Co-op,3.99
Online PvP,3.99
PvP,3.99
Remote Play Together,3.99
Shared/Split Screen Co-op,3.99
Stats,3.99
Steam Achievements,3.99
Steam Workshop,3.99
Tracked Controller Support,3.99
VR Only,3.99
Partial Controller Support,2.99
Remote Play on Phone,2.99
Remote Play on Tablet,2.99
Shared/Split Screen,2.99
Steam Cloud,2.99
Steam Leaderboards,2.99
Steam Trading Cards,2.99
In-App Purchases,1.99
Includes Source SDK,1.99
Native Steam Controller Support,1.99
Shared/Split Screen PvP,1.99
Downloadable Content,0.79
Full controller support,0.79
Single-player,0.79
Game demo,
Inc.,
Mods,
Mods (require HL2),
