Indie,80098
Action,52381
Casual,44846
Adventure,43187
Simulation,28118
RPG,26312
Strategy,26004
Free to Play,10734
Early Access,9557
Sports,5730
Racing,4822
Massively Multiplayer,4003
Design & Illustration,2513
Web Publishing,2031
Utilities,1397
Violent,977
Animation & Modeling,791
Education,686
Gore,602
Video Production,527
Game Development,497
Software Training,487
Audio Production,484
Movie,451
Photo Editing,325
Sexual Content,322
Nudity,309
Documentary,60
Episodic,43
Accounting,26
Short,26
Tutorial,26
Single-player,7
360 Video,7
Steam Achievements,5
Online PvP,5
Multi-player,5
PvP,4
Downloadable Content,3
Steam Cloud,3
Steam Trading Cards,3
Partial Controller Support,2
Captions available,2
In-App Purchases,1
Game demo,1
на одном аккаунте Steam machine activation limit,1
true,1
Cross-Platform Multiplayer,1
Remote Play Together,1
LAN PvP,1
Shared/Split Screen PvP,1
Commentary available,1
