Single-player,117542
Steam Achievements,59153
Downloadable Content,39123
Steam Cloud,34183
Full controller support,33849
Multi-player,33286
Partial Controller Support,23180
Steam Trading Cards,21849
Co-op,19222
PvP,16037
Online PvP,14878
Steam Leaderboards,14832
Shared/Split Screen,12137
Online Co-op,11058
Game demo,9529
Remote Play Together,8162
Cross-Platform Multiplayer,7932
Shared/Split Screen PvP,7300
Stats,6323
Shared/Split Screen Co-op,6053
Steam Workshop,5914
VR Only,5789
In-App Purchases,5749
Tracked Controller Support,5627
Includes level editor,4341
Captions available,3491
Remote Play on TV,3085
MMO,2515
LAN Co-op,2152
Remote Play on Tablet,1787
Native Steam Controller Support,1668
Remote Play on Phone,1321
LAN PvP,1299
Additional High-Quality Audio,1214
VR Supported,1116
Commentary available,623
VR Support,572
Valve Anti-Cheat enabled,550
Steam Turn Notifications,269
Includes Source SDK,144
SteamVR Collectibles,49
Mods,10
Mods (require HL2),9
serial key required machine activation limit,3
Easy Anti-Cheat,3
Inc.,1
5 machine activation limit,1
на одном компьютере,1
